id,carat,cut,color,clarity,depth,table,price,x,y,z
25459,2.28,Good,J,SI1,63.7,55.0,14220,8.28,8.35,5.3
547,0.72,Ideal,F,VS1,61.7,57.0,2829,5.77,5.74,3.55
41855,0.61,Ideal,E,I1,63.4,57.0,1255,5.43,5.37,3.42
9835,1.01,Good,D,SI2,63.9,57.0,4672,6.36,6.29,4.04
17347,1.72,Very Good,F,I1,60.5,59.0,6962,7.71,7.8,4.69
29834,0.38,Ideal,G,SI1,61.6,54.0,710,4.68,4.71,2.89
23362,0.26,Very Good,G,VS1,62.4,56.0,423,4.08,4.1,2.55
7426,0.92,Very Good,H,VS1,61.7,62.0,4228,6.2,6.12,3.8
47360,0.54,Very Good,H,VVS1,62.0,57.0,1846,5.2,5.25,3.24
43462,0.51,Very Good,F,VS2,63.2,58.0,1417,5.07,5.05,3.2
40935,0.24,Good,E,VVS1,63.8,56.0,499,3.95,3.98,2.53
13069,1.23,Premium,I,SI1,62.5,59.0,5412,6.8,6.84,4.26
10316,1.03,Very Good,G,SI1,63.2,58.0,4764,6.43,6.38,4.05
10680,1.0,Very Good,H,VS2,63.0,59.0,4842,6.43,6.34,4.02
39727,0.4,Ideal,E,VS2,62.2,55.0,1090,4.71,4.77,2.95
11562,1.01,Very Good,H,VS2,63.1,56.0,5034,6.41,6.36,4.03
7430,0.91,Premium,D,SI1,62.8,57.0,4228,6.17,6.12,3.86
27841,0.31,Good,E,VS2,59.1,56.0,651,4.41,4.46,2.62
21762,1.5,Good,I,VS1,57.9,60.0,9828,7.48,7.44,4.32
11536,1.01,Premium,H,VS2,61.3,58.0,5028,6.46,6.49,3.97
30689,0.4,Very Good,E,SI1,62.8,59.0,737,4.64,4.69,2.93
30570,0.31,Ideal,D,VS2,61.6,57.0,734,4.36,4.38,2.69
42256,0.52,Good,D,SI2,63.7,55.0,1293,5.11,5.1,3.25
34185,0.33,Premium,G,VS1,62.0,59.0,854,4.42,4.36,2.72
26611,2.05,Premium,G,SI2,60.1,59.0,16357,8.2,8.3,4.96
15110,1.01,Very Good,F,VS2,62.3,59.0,6073,6.37,6.44,3.99
47144,0.72,Ideal,J,SI1,62.7,56.0,1832,5.67,5.75,3.58
5563,1.0,Good,F,SI2,59.8,65.0,3858,6.58,6.43,3.9
31824,0.41,Premium,E,SI1,60.4,59.0,775,4.8,4.75,2.88
15796,1.14,Premium,F,SI1,60.4,58.0,6320,6.82,6.79,4.11
5789,1.01,Premium,F,SI2,61.1,57.0,3903,6.48,6.44,3.95
53530,0.74,Ideal,G,SI2,61.7,56.0,2690,5.8,5.87,3.6
29571,0.41,Ideal,F,SI1,61.6,57.0,705,4.78,4.8,2.95
36386,0.45,Premium,I,SI1,60.3,59.0,941,4.99,4.93,2.99
2204,0.73,Ideal,D,SI1,62.4,53.0,3140,5.82,5.79,3.62
24904,1.51,Ideal,F,SI1,61.7,56.0,13334,7.35,7.41,4.55
4070,0.31,Very Good,D,SI1,63.0,55.0,571,4.32,4.34,2.73
49948,0.58,Very Good,F,VVS2,62.6,56.0,2189,5.37,5.27,3.33
21520,1.71,Ideal,H,VS2,61.9,57.0,9618,7.67,7.61,4.73
48894,0.57,Ideal,F,VS1,61.7,55.0,2039,5.35,5.39,3.31
51276,0.72,Ideal,H,SI1,61.8,54.0,2359,5.76,5.8,3.57
43826,0.51,Premium,E,SI1,58.8,58.0,1443,5.28,5.23,3.09
52471,0.96,Fair,J,SI1,67.3,56.0,2517,6.06,6.01,4.06
30075,0.32,Ideal,E,SI1,61.8,55.0,720,4.45,4.42,2.74
793,0.8,Very Good,F,SI1,62.6,58.0,2862,5.9,5.92,3.7
3719,0.9,Good,F,SI2,63.9,55.0,3453,6.15,6.12,3.92
50951,0.87,Premium,J,SI1,61.4,57.0,2321,6.17,6.14,3.78
9749,1.04,Ideal,I,SI1,61.3,57.0,4659,6.57,6.54,4.02
40633,0.41,Ideal,E,VS1,61.8,55.0,1153,4.8,4.75,2.95
8302,0.91,Ideal,H,SI1,61.9,56.0,4386,6.17,6.21,3.83
14598,1.06,Premium,H,VS2,62.6,58.0,5889,6.54,6.49,4.08
40606,0.29,Ideal,H,VS2,62.8,55.0,498,4.24,4.27,2.67
549,0.8,Premium,E,SI2,60.2,57.0,2829,6.05,6.01,3.63
41670,0.46,Ideal,D,VS2,62.4,56.0,1240,4.95,4.98,3.1
29979,0.38,Very Good,G,VS2,59.7,62.0,715,4.66,4.68,2.79
15021,1.0,Ideal,E,VS2,61.9,56.0,6048,6.45,6.4,3.98
33740,0.33,Ideal,E,VVS2,62.1,54.0,840,4.45,4.47,2.77
18708,0.27,Very Good,E,VVS2,62.5,59.0,620,4.09,4.14,2.57
6131,1.21,Premium,J,SI2,60.8,58.0,3984,6.93,6.88,4.19
21980,1.0,Premium,D,VVS2,61.6,60.0,10046,6.41,6.36,3.93
38769,0.31,Ideal,F,IF,61.8,54.0,1046,4.37,4.33,2.69
10222,1.31,Premium,F,SI2,62.7,61.0,4743,7.03,6.86,4.36
29911,0.29,Very Good,G,VS2,61.5,58.0,712,4.25,4.27,2.62
39326,0.3,Ideal,E,VVS1,61.7,57.0,1071,4.32,4.34,2.67
44015,0.51,Premium,G,VS2,62.2,57.0,1546,5.15,5.1,3.19
45857,0.5,Very Good,H,VVS1,63.3,57.0,1715,5.06,5.02,3.19
48977,0.36,Premium,D,SI2,61.5,60.0,537,4.54,4.6,2.81
561,0.79,Ideal,G,SI1,61.8,56.0,2831,5.93,5.91,3.66
47879,0.52,Ideal,G,VVS2,62.3,55.0,1911,5.12,5.16,3.2
24783,1.5,Ideal,G,VS2,62.2,54.0,13154,7.39,7.34,4.58
18709,0.27,Very Good,E,VVS2,60.9,58.0,620,4.14,4.17,2.53
21846,2.04,Premium,G,I1,62.4,58.0,9905,8.17,8.08,5.07
18947,1.06,Ideal,G,VS1,61.2,56.0,7790,6.56,6.62,4.03
17932,1.0,Very Good,G,VVS2,62.1,59.0,7242,6.34,6.45,3.97
14669,1.51,Fair,F,SI2,65.4,56.0,5919,7.2,7.08,4.67
34021,0.35,Ideal,E,VVS2,61.0,57.0,849,4.54,4.58,2.78
32994,0.38,Premium,I,VS2,61.8,59.0,812,4.64,4.61,2.86
32716,0.31,Premium,F,VS2,61.4,55.0,802,4.34,4.32,2.66
4685,0.96,Fair,E,SI2,57.7,67.0,3674,6.49,6.46,3.73
30176,0.38,Ideal,H,VS1,61.1,55.0,721,4.68,4.72,2.87
50139,0.59,Very Good,E,VVS2,59.8,57.0,2214,5.48,5.53,3.29
10253,1.06,Ideal,H,SI2,59.9,58.0,4749,6.67,6.63,3.98
48395,0.7,Premium,I,VS2,63.0,60.0,1966,5.62,5.59,3.53
17808,1.0,Ideal,F,VS1,61.4,56.0,7177,6.46,6.51,3.98
21852,1.57,Ideal,I,VS2,61.5,56.0,9912,7.49,7.56,4.63
41263,0.34,Ideal,I,VS1,62.0,54.0,501,4.49,4.51,2.79
16351,0.3,Premium,H,VS2,62.9,59.0,608,4.3,4.26,2.69
12435,1.04,Ideal,J,VVS2,61.1,58.0,5242,6.49,6.57,3.99
28046,0.29,Very Good,G,VS1,58.1,59.0,660,4.39,4.42,2.56
13401,0.32,Ideal,F,VS2,62.4,57.0,602,4.37,4.44,2.75
5171,0.91,Ideal,E,SI2,62.6,57.0,3772,6.13,6.18,3.85
47765,0.58,Ideal,E,VS1,62.6,56.0,1893,5.33,5.27,3.32
4477,0.94,Very Good,H,SI2,62.7,61.0,3624,6.21,6.24,3.9
37373,0.4,Premium,F,VS1,61.4,58.0,982,4.73,4.75,2.91
5952,1.01,Good,G,SI2,61.1,62.0,3948,6.38,6.48,3.93
1011,0.7,Very Good,F,SI1,61.9,58.0,2900,5.71,5.72,3.54
43971,0.27,Very Good,F,VS1,62.5,56.0,518,4.14,4.18,2.6
32191,0.35,Premium,H,VS1,61.3,59.0,788,4.57,4.54,2.79
49824,0.7,Good,F,SI1,63.1,64.0,2167,5.61,5.58,3.53
51340,0.79,Premium,H,VS2,61.1,59.0,2362,5.96,5.93,3.63
655,1.01,Good,I,I1,63.1,57.0,2844,6.35,6.39,4.02
31577,0.35,Ideal,E,VS2,62.1,56.0,767,4.52,4.53,2.81
51220,0.5,Ideal,H,IF,61.8,56.0,2352,5.1,5.13,3.16
16909,1.23,Premium,G,SI1,62.4,55.0,6750,6.89,6.83,4.28
17825,1.5,Premium,H,SI2,61.4,62.0,7187,7.4,7.25,4.49
29718,0.31,Ideal,G,VVS2,62.4,56.0,707,4.33,4.36,2.71
47634,0.51,Premium,D,VS2,59.7,58.0,1882,5.24,5.18,3.11
40713,0.53,Premium,H,SI1,61.2,60.0,1159,5.22,5.1,3.16
36938,0.23,Very Good,E,VVS1,60.2,59.0,478,3.97,4.01,2.4
23204,1.06,Ideal,D,VVS2,61.1,56.0,11209,6.58,6.59,4.02
28610,0.3,Premium,E,SI1,62.1,60.0,675,4.29,4.27,2.66
20660,2.01,Very Good,J,SI2,59.3,63.0,8949,8.28,8.22,4.89
42713,0.56,Ideal,G,SI1,62.5,56.0,1340,5.21,5.28,3.28
36268,0.3,Ideal,E,VS1,61.6,57.0,936,4.33,4.3,2.66
11810,1.01,Premium,G,SI1,60.8,60.0,5090,6.47,6.39,3.91
15336,1.02,Ideal,D,SI1,62.8,56.0,6158,6.44,6.39,4.03
6720,0.3,Ideal,D,SI2,61.1,58.0,413,4.31,4.33,2.64
20432,1.04,Very Good,F,VVS2,62.5,58.0,8785,6.37,6.46,4.01
49365,0.72,Ideal,J,VS2,61.4,57.0,2099,5.76,5.8,3.55
19442,1.06,Ideal,G,VS1,61.7,55.0,8093,6.53,6.56,4.04
329,0.72,Premium,F,VS1,62.4,58.0,2802,5.83,5.7,3.6
53511,0.71,Premium,G,VS1,60.8,59.0,2686,5.76,5.72,3.49
4138,0.86,Ideal,I,VVS2,61.4,58.0,3544,6.07,6.1,3.74
18722,1.17,Very Good,H,IF,59.3,59.0,7644,6.92,6.98,4.12
31791,0.42,Premium,E,SI1,62.7,59.0,773,4.78,4.79,3.0
21007,1.51,Ideal,H,SI1,62.3,56.0,9218,7.29,7.34,4.56
7769,0.91,Good,G,VS1,63.2,58.0,4284,6.07,6.15,3.86
43498,0.54,Good,G,VS2,63.6,56.0,1422,5.14,5.17,3.28
5839,0.9,Very Good,G,SI1,62.6,60.0,3919,6.09,6.14,3.83
21853,1.2,Ideal,D,VS2,62.3,56.0,9912,6.81,6.78,4.23
578,0.51,Very Good,D,VVS1,59.9,58.0,2834,5.16,5.19,3.1
11347,1.01,Very Good,F,SI1,63.5,59.0,4989,6.38,6.29,4.02
39411,0.41,Ideal,F,VS1,60.6,57.0,1076,4.84,4.79,2.92
10802,1.06,Premium,F,SI1,62.4,58.0,4862,6.56,6.51,4.07
26616,2.02,Premium,I,SI1,60.9,60.0,16368,8.13,8.1,4.94
45176,0.53,Ideal,F,VS2,61.1,54.0,1655,5.26,5.29,3.22
9952,1.04,Ideal,I,VS1,63.0,56.0,4696,6.44,6.41,4.05
47323,0.23,Very Good,D,VVS2,61.3,59.0,530,3.91,3.99,2.42
9363,0.32,Premium,D,SI1,61.5,59.0,589,4.39,4.42,2.71
4744,1.01,Very Good,G,SI2,62.0,58.0,3682,6.41,6.46,3.99
38076,0.36,Premium,F,VS1,60.7,58.0,1013,4.62,4.57,2.79
9224,1.03,Premium,G,SI2,60.6,60.0,4557,6.53,6.5,3.95
2348,1.03,Premium,H,I1,61.1,60.0,3172,6.46,6.51,3.96
32060,0.33,Premium,I,VVS1,62.5,61.0,780,4.42,4.38,2.75
12522,1.09,Ideal,H,SI1,61.9,57.0,5262,6.58,6.63,4.09
30012,0.42,Very Good,F,SI1,63.1,56.0,717,4.77,4.8,3.02
13301,1.02,Ideal,E,SI1,60.5,56.0,5493,6.57,6.53,3.96
35339,0.32,Ideal,G,IF,61.8,55.0,898,4.38,4.42,2.72
2542,0.75,Ideal,E,VS2,61.7,56.0,3206,5.84,5.86,3.61
38091,0.36,Ideal,E,VS2,60.8,56.0,1013,4.64,4.6,2.81
20893,1.71,Premium,I,VS2,61.5,58.0,9116,7.74,7.54,4.7
31284,0.32,Ideal,G,SI2,61.6,56.0,450,4.44,4.46,2.74
217,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
28203,0.4,Very Good,H,SI1,62.6,58.0,666,4.68,4.72,2.94
26524,2.28,Premium,J,VS1,60.3,58.0,16174,8.58,8.53,5.16
48129,0.53,Ideal,F,VS1,60.8,55.0,1939,5.26,5.3,3.21
24961,1.68,Premium,G,VS1,58.2,57.0,13445,7.89,7.85,4.58
29631,0.31,Very Good,I,VS2,61.5,55.0,442,4.34,4.36,2.68
32124,0.47,Ideal,G,SI2,62.4,55.0,784,4.96,5.01,3.11
46383,0.54,Ideal,D,VS2,60.9,56.0,1763,5.3,5.27,3.22
11304,1.2,Premium,H,SI1,62.8,56.0,4980,6.76,6.68,4.22
36396,0.53,Good,I,SI2,63.6,58.0,942,5.08,5.11,3.24
33152,0.31,Premium,E,VVS2,60.4,59.0,816,4.34,4.37,2.63
30127,0.32,Ideal,G,VS2,61.7,57.0,720,4.4,4.38,2.71
42371,0.51,Fair,D,SI1,65.2,55.0,1304,5.05,5.01,3.28
35433,0.32,Ideal,E,VS2,62.1,54.0,900,4.42,4.4,2.74
28284,0.23,Ideal,G,SI1,62.1,53.0,364,3.93,3.96,2.45
7754,0.64,Ideal,D,VVS1,61.5,56.0,4281,5.57,5.59,3.43
51148,0.71,Premium,E,SI2,62.7,59.0,2343,5.7,5.66,3.56
82,0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53
1569,0.91,Very Good,I,SI2,63.4,58.0,3006,6.08,6.12,3.87
25775,2.11,Very Good,I,SI1,62.4,53.0,14740,8.17,8.27,5.13
35402,0.35,Ideal,E,VS1,62.0,55.0,900,4.54,4.58,2.82
41963,0.23,Very Good,E,VVS2,61.6,57.0,505,3.95,3.97,2.44
49842,0.71,Premium,H,VS2,61.3,58.0,2169,5.76,5.82,3.55
29757,0.3,Premium,D,SI1,62.6,56.0,709,4.29,4.24,2.67
35756,0.39,Very Good,G,VVS1,62.3,59.0,912,4.63,4.68,2.9
41154,0.43,Very Good,D,VS1,61.2,58.0,1199,4.82,4.88,2.97
50749,0.74,Very Good,F,SI2,59.6,60.0,2298,5.85,6.0,3.53
10027,0.23,Very Good,G,VVS1,61.3,59.0,414,3.94,3.96,2.42
42194,0.5,Premium,E,SI2,60.3,60.0,1286,5.11,5.07,3.07
11088,1.2,Ideal,J,VS2,62.3,57.0,4927,6.82,6.75,4.23
41352,0.57,Premium,H,SI1,59.3,58.0,1218,5.4,5.46,3.22
39946,0.24,Good,E,VVS2,65.0,58.0,492,3.85,3.9,2.52
1591,0.74,Very Good,E,SI1,61.3,58.0,3009,5.8,5.84,3.57
36475,0.43,Very Good,G,VS1,61.0,58.0,943,4.89,4.92,2.99
23838,1.7,Good,I,VS1,58.0,60.0,11921,7.84,7.88,4.56
18249,1.17,Ideal,G,VS2,61.3,56.0,7413,6.79,6.81,4.17
35783,0.32,Ideal,F,VVS1,61.0,56.0,912,4.42,4.43,2.7
27256,2.02,Very Good,H,SI1,63.4,60.0,17672,7.96,8.04,5.07
4926,1.08,Very Good,E,SI2,63.5,56.0,3726,6.53,6.48,4.13
37886,0.42,Ideal,D,VS1,61.4,55.0,1006,4.8,4.9,2.98
24868,2.02,Good,I,SI1,64.3,56.0,13286,7.85,7.99,5.09
34278,0.31,Very Good,I,VS2,61.6,56.0,468,4.36,4.39,2.69
23020,0.3,Premium,G,VS2,61.8,60.0,630,4.29,4.25,2.64
33185,0.41,Fair,E,SI2,64.7,55.0,818,4.7,4.67,3.03
46839,0.51,Ideal,D,VS1,62.2,55.0,1810,5.15,5.17,3.21
46049,0.5,Ideal,F,VS1,61.0,56.0,1731,5.14,5.15,3.14
900,1.0,Fair,H,SI2,69.5,55.0,2875,6.17,6.1,4.26
44996,0.31,Premium,I,SI1,61.4,61.0,523,4.39,4.34,2.68
26019,0.38,Ideal,J,VS1,62.0,53.0,645,4.66,4.7,2.9
51058,0.71,Ideal,F,SI2,59.3,57.0,2331,5.86,5.81,3.46
45706,0.56,Ideal,G,VS2,62.1,56.0,1698,5.31,5.29,3.29
42783,0.5,Ideal,H,VS2,61.3,56.0,1349,5.12,5.16,3.15
46882,0.56,Ideal,H,VVS2,60.9,57.0,1814,5.38,5.33,3.26
48526,0.54,Ideal,G,VVS2,61.5,54.0,1985,5.24,5.26,3.23
26481,1.6,Premium,G,VVS2,60.6,60.0,16068,7.51,7.57,4.57
40810,0.51,Good,E,SI1,63.6,59.0,1170,5.13,5.06,3.24
51692,0.7,Fair,F,VS1,55.9,62.0,2399,5.94,5.83,3.29
25443,1.5,Ideal,F,VS2,62.4,55.0,14199,7.31,7.25,4.54
29749,0.37,Premium,G,SI1,60.0,57.0,708,4.7,4.67,2.81
7780,1.02,Premium,I,SI1,58.0,58.0,4284,6.84,6.6,3.9
13620,0.95,Very Good,G,VS1,59.9,58.0,5572,6.37,6.41,3.83
28547,0.3,Premium,I,VVS2,61.7,58.0,675,4.37,4.28,2.67
45946,0.56,Ideal,F,VS2,62.6,55.0,1723,5.25,5.29,3.3
34848,0.3,Ideal,G,VVS2,61.5,56.0,878,4.34,4.31,2.66
6557,0.9,Very Good,F,SI1,61.6,58.0,4074,6.12,6.26,3.81
40790,0.31,Ideal,F,IF,61.4,56.0,1168,4.37,4.42,2.7
19250,1.33,Premium,H,VS2,60.7,59.0,7982,7.08,7.13,4.31
9304,1.03,Very Good,H,SI1,63.5,53.0,4573,6.43,6.46,4.09
2928,1.03,Very Good,H,SI2,63.1,56.0,3288,6.43,6.38,4.04
2755,0.9,Very Good,H,SI2,62.4,58.0,3250,6.11,6.16,3.83
24900,1.58,Premium,D,SI1,60.2,58.0,13329,7.6,7.46,4.56
5969,1.14,Premium,D,I1,61.8,59.0,3950,6.62,6.74,4.13
19156,1.19,Ideal,D,VS2,60.4,56.0,7916,6.87,6.93,4.17
51103,1.03,Premium,H,I1,62.9,59.0,2336,6.41,6.3,4.0
2255,0.75,Premium,E,VS2,61.8,58.0,3150,5.85,5.83,3.61
24708,0.38,Ideal,G,SI1,60.2,57.0,639,4.72,4.77,2.85
24982,1.72,Premium,H,VS2,61.3,59.0,13486,7.69,7.72,4.72
24679,1.52,Premium,G,VS1,62.4,58.0,13034,7.37,7.3,4.58
10663,0.9,Ideal,H,VVS2,62.0,57.0,4838,6.2,6.15,3.83
11968,1.33,Fair,F,SI2,64.5,58.0,5139,6.97,6.86,4.46
18775,1.02,Premium,F,VS1,62.8,58.0,7677,6.44,6.4,4.03
34556,0.4,Ideal,G,SI2,60.6,56.0,870,4.82,4.76,2.91
41544,0.52,Premium,G,SI2,61.4,56.0,1235,5.27,5.18,3.2
27033,0.32,Ideal,G,VS1,61.9,55.0,645,4.39,4.43,2.73
14007,1.2,Ideal,I,VS2,63.2,59.0,5699,6.73,6.68,4.24
35302,0.3,Very Good,H,VS2,61.1,61.0,473,4.31,4.33,2.64
32028,0.38,Ideal,G,VS2,61.2,55.0,778,4.69,4.72,2.88
30710,0.36,Ideal,E,VS2,60.7,56.0,738,4.63,4.65,2.82
24336,1.53,Premium,G,VS2,61.8,59.0,12602,7.31,7.45,4.56
39114,0.41,Ideal,G,VS2,62.4,54.0,1061,4.81,4.78,2.99
30507,0.31,Good,D,SI1,63.7,54.0,732,4.35,4.31,2.76
46296,0.3,Very Good,E,SI1,61.7,56.0,526,4.27,4.29,2.64
41762,0.42,Ideal,G,VVS1,62.8,55.0,1245,4.78,4.8,3.01
40852,0.54,Ideal,F,SI2,61.0,56.0,1173,5.24,5.29,3.21
5581,1.0,Premium,H,SI2,61.0,61.0,3864,6.31,6.27,3.84
23983,2.12,Premium,J,SI2,62.3,61.0,12140,8.21,8.16,5.1
3359,0.91,Very Good,H,SI2,63.4,57.0,3382,6.1,6.18,3.89
50340,0.64,Premium,D,VS2,60.9,59.0,2243,5.6,5.63,3.42
29666,0.35,Ideal,F,VS2,61.9,54.0,706,4.5,4.54,2.8
30895,0.35,Ideal,E,VS2,61.6,57.0,744,4.53,4.56,2.8
39793,0.39,Ideal,G,VVS1,62.3,57.0,1095,4.64,4.7,2.91
52016,0.73,Very Good,F,SI1,62.5,56.0,2445,5.69,5.73,3.57
27000,2.53,Fair,H,SI2,64.6,59.0,17103,8.54,8.45,5.4
20553,2.0,Very Good,J,SI2,62.1,63.0,8870,7.96,7.85,4.91
40293,0.4,Ideal,H,VVS2,62.2,56.0,1125,4.75,4.7,2.94
42768,0.52,Ideal,G,SI1,60.0,56.0,1346,5.24,5.27,3.15
52862,0.5,Fair,E,VS2,79.0,73.0,2579,5.21,5.18,4.09
35393,0.41,Ideal,H,VVS2,62.5,56.0,899,4.74,4.77,2.97
50576,0.73,Premium,E,SI2,61.8,58.0,2278,5.76,5.71,3.54
7550,1.01,Premium,G,SI2,62.5,60.0,4249,6.34,6.39,3.98
14678,1.02,Ideal,G,VS2,62.6,57.0,5922,6.43,6.41,4.02
14273,1.2,Premium,H,SI2,61.4,58.0,5779,6.81,6.77,4.17
25067,2.01,Fair,H,SI2,61.2,66.0,13587,8.21,8.09,4.98
19180,1.74,Premium,H,SI1,62.1,59.0,7932,7.69,7.63,4.76
18330,1.04,Ideal,G,VS1,62.3,56.0,7457,6.45,6.49,4.03
7641,0.9,Very Good,F,VS2,64.2,59.0,4268,6.07,6.11,3.91
11718,0.4,Good,I,SI1,63.2,55.0,596,4.68,4.72,2.97
5347,0.93,Premium,D,SI1,60.8,60.0,3812,6.3,6.24,3.81
42977,0.41,Premium,E,VVS1,60.7,58.0,1367,4.8,4.86,2.93
44665,0.36,Ideal,I,VS2,61.8,55.0,523,4.58,4.61,2.84
11173,0.98,Ideal,F,SI1,62.7,55.0,4950,6.37,6.27,3.96
16860,1.22,Ideal,H,SI1,62.2,54.0,6727,6.83,6.86,4.26
43366,0.52,Very Good,D,SI1,60.5,61.0,1408,5.19,5.23,3.15
43624,0.43,Ideal,G,IF,61.2,57.0,1433,4.81,4.86,2.96
39910,0.5,Ideal,E,SI2,62.6,56.0,1104,5.05,5.11,3.18
30560,0.31,Ideal,D,VS2,62.5,56.0,734,4.34,4.36,2.72
11864,1.08,Ideal,F,SI1,62.9,57.0,5106,6.54,6.53,4.11
6211,0.7,Ideal,E,VS1,61.2,56.0,4000,5.72,5.75,3.51
51074,0.96,Good,I,I1,58.6,64.0,2333,6.34,6.26,3.69
3777,0.71,Very Good,F,VVS1,61.8,55.0,3461,5.71,5.77,3.55
20985,1.62,Premium,D,SI2,61.2,61.0,9199,7.6,7.53,4.63
13825,1.04,Fair,G,VS1,64.9,58.0,5633,6.36,6.33,4.12
17861,1.04,Very Good,F,VS1,63.0,56.0,7207,6.45,6.5,4.08
26787,2.03,Premium,E,SI1,62.9,57.0,16629,8.04,7.98,5.04
8581,1.13,Very Good,G,SI2,60.0,61.0,4437,6.71,6.78,4.05
